Test,Animal,Treatment,Day,Trial,Duration,Distance,WMC_error,RM_error
218,11,SEA E12.5,3,2,6.5,0.898,0,0
219,11,SEA E12.5,3,3,32.9,4.991,6,7
220,11,SEA E12.5,3,4,120,14.922,17,22
221,12,SEA E12.5,3,1,12.2,1.267,0,3
222,12,SEA E12.5,3,2,37.6,4.967,4,9
223,12,SEA E12.5,3,3,20.6,1.729,2,3
224,12,SEA E12.5,3,4,35.7,3.967,4,7
225,13,SEA E12.5,3,1,6.7,0.642,0,1
226,13,SEA E12.5,3,2,4.7,0.625,0,1
227,13,SEA E12.5,3,3,7.3,1.216,0,2
228,13,SEA E12.5,3,4,31.4,4.137,4,7
229,14,SEA E12.5,3,1,14.6,1.243,0,1
230,14,SEA E12.5,3,2,46.7,4.929,7,6
231,14,SEA E12.5,3,3,12.5,1.332,0,3
232,14,SEA E12.5,3,4,41.9,4.007,4,7
233,15,SEA E12.5,3,1,17.7,0.548,0,1
234,15,SEA E12.5,3,2,16.4,1.895,0,5
235,15,SEA E12.5,3,3,21.2,2.095,1,3
236,15,SEA E12.5,3,4,120,8.943,11,12
237,16,SEA E12.5,3,1,13.2,0.984,0,1
238,16,SEA E12.5,3,2,6.2,0.748,0,1
239,16,SEA E12.5,3,3,120,8.832,7,15
240,16,SEA E12.5,3,4,120,4.013,6,4
241,17,Saline E12.5,3,1,11.3,0.837,0,1
242,17,Saline E12.5,3,2,21.7,1.636,0,3
243,17,Saline E12.5,3,3,54.3,3.112,2,5
244,17,Saline E12.5,3,4,120,5.069,6,5
245,18,Saline E12.5,3,1,4.5,0.512,0,1
246,18,Saline E12.5,3,2,45.7,4.986,3,9
247,18,Saline E12.5,3,3,9.1,1.257,2,1
248,18,Saline E12.5,3,4,48.6,5.152,2,11
249,19,Saline E12.5,3,1,16.5,2.003,0,2
250,19,Saline E12.5,3,2,5.3,0.515,0,0
251,19,Saline E12.5,3,3,19.1,2.575,2,2
252,19,Saline E12.5,3,4,54.8,6.716,9,7
253,20,Saline E12.5,3,1,21,3.392,0,6
254,20,Saline E12.5,3,2,6.8,0.845,1,0
255,20,Saline E12.5,3,3,20.4,3.272,2,2
256,20,Saline E12.5,3,4,120,14.55,20,16
257,21,Saline E12.5,3,1,62.8,4.764,0,8
258,21,Saline E12.5,3,2,14.4,1.372,0,3
259,21,Saline E12.5,3,3,61.5,5.06,3,6
260,21,Saline E12.5,3,4,30.3,1.768,2,0
261,22,Saline E12.5,3,1,10.2,0.908,0,1
262,22,Saline E12.5,3,2,14,1.231,0,1
263,22,Saline E12.5,3,3,29.4,3.07,0,7
264,22,Saline E12.5,3,4,120,13.058,13,21
265,1,SEA E12.5,4,1,19.1,0.63,0,1
266,1,SEA E12.5,4,2,20.2,2.033,2,3
267,1,SEA E12.5,4,3,14.4,2.642,3,2
268,1,SEA E12.5,4,4,27.5,1.518,2,1
269,2,SEA E12.5,4,1,8.1,1.235,0,3
270,2,SEA E12.5,4,2,15.5,1.923,2,4
271,2,SEA E12.5,4,3,20.8,2.466,0,7
272,2,SEA E12.5,4,4,6.8,0.58,0,1
273,3,SEA E12.5,4,1,25.2,1.817,0,3
274,3,SEA E12.5,4,2,74.7,5.515,6,8
275,3,SEA E12.5,4,3,45.8,3.091,5,3
276,3,SEA E12.5,4,4,120,12.204,13,22
277,4,SEA E12.5,4,1,14.2,0.732,0,2
278,4,SEA E12.5,4,2,17.8,1.648,4,1
279,4,SEA E12.5,4,3,45.8,5.748,8,4
280,4,SEA E12.5,4,4,24.6,2.201,1,4
281,5,SEA E12.5,4,1,17.7,2.035,0,3
282,5,SEA E12.5,4,2,5.4,0.13,0,0
283,5,SEA E12.5,4,3,8.6,0.633,1,0
284,5,SEA E12.5,4,4,26.3,2.62,3,4
285,6,SEA E12.5,4,1,5.7,0.479,0,1
286,6,SEA E12.5,4,2,24.1,2.392,3,2
287,6,SEA E12.5,4,3,96.9,8.629,11,9
288,6,SEA E12.5,4,4,120,11.519,22,8
289,7,Saline E12.5,4,1,43.8,0.991,0,1
290,7,Saline E12.5,4,2,24.3,1.24,2,0
291,7,Saline E12.5,4,3,120,7.86,9,15
292,7,Saline E12.5,4,4,120,9.123,17,10
293,8,Saline E12.5,4,1,4.5,0.334,0,0
294,8,Saline E12.5,4,2,4.7,0.241,0,0
295,8,Saline E12.5,4,3,46.1,5.882,3,11
296,8,Saline E12.5,4,4,120,11.031,15,16
297,9,Saline E12.5,4,1,14.6,1.437,0,0
298,9,Saline E12.5,4,2,5.3,0.268,0,0
299,9,Saline E12.5,4,3,74.6,8.002,13,10
300,9,Saline E12.5,4,4,89.7,8.779,6,14
301,10,Saline E12.5,4,1,7.7,1.119,0,2
302,10,Saline E12.5,4,2,16.7,2.527,0,6
303,10,Saline E12.5,4,3,54.4,7.631,6,13
304,10,Saline E12.5,4,4,31.1,3.672,5,5
305,11,SEA E12.5,4,1,15,1.238,0,1
306,11,SEA E12.5,4,2,4.6,0.22,0,0
307,11,SEA E12.5,4,3,15.6,1.652,2,2
308,11,SEA E12.5,4,4,53.3,4.933,7,7
309,12,SEA E12.5,4,1,4.8,0.271,0,0
310,12,SEA E12.5,4,2,15,1.378,2,0
311,12,SEA E12.5,4,3,7.5,0.702,0,1
312,12,SEA E12.5,4,4,57.1,6.179,0,16
313,13,SEA E12.5,4,1,20.6,2.396,0,5
314,13,SEA E12.5,4,2,6,0.697,0,1
315,13,SEA E12.5,4,3,33.2,3.198,9,0
316,13,SEA E12.5,4,4,85.9,10.997,14,14
317,14,SEA E12.5,4,1,17.2,1.568,0,2
318,14,SEA E12.5,4,2,3.4,0.301,0,0
319,14,SEA E12.5,4,3,8.5,1.024,2,0
320,14,SEA E12.5,4,4,59.2,6.792,16,2
321,15,SEA E12.5,4,1,14.6,0.64,0,1
322,15,SEA E12.5,4,2,33.4,2.878,3,4
323,15,SEA E12.5,4,3,120,4.081,8,2
324,15,SEA E12.5,4,4,45.5,1.983,0,5
325,16,SEA E12.5,4,1,120,5.973,,
326,16,SEA E12.5,4,2,120,3.267,,
327,16,SEA E12.5,4,3,120,2.103,0,6
328,16,SEA E12.5,4,4,57.5,2.459,4,3
329,17,Saline E12.5,4,1,32.8,2.149,,
330,17,Saline E12.5,4,2,50.4,3.456,,
331,17,Saline E12.5,4,3,120,10.853,,
332,17,Saline E12.5,4,4,120,10.354,,
333,18,Saline E12.5,4,1,4.2,0.535,0,0
334,18,Saline E12.5,4,2,6.8,0.924,0,2
335,18,Saline E12.5,4,3,15.3,2.038,2,3
336,18,Saline E12.5,4,4,120,15.584,20,22
337,19,Saline E12.5,4,1,4.5,0.421,0,0
338,19,Saline E12.5,4,2,23.9,2.539,2,1
339,19,Saline E12.5,4,3,4.3,0.098,0,0
340,19,Saline E12.5,4,4,5.9,0.591,1,0
341,20,Saline E12.5,4,1,20.1,2.546,0,3
342,20,Saline E12.5,4,2,11.3,1.711,2,1
343,20,Saline E12.5,4,3,37.2,5.731,6,7
344,20,Saline E12.5,4,4,120,15.041,19,20
345,21,Saline E12.5,4,1,54.4,3.386,0,5
346,21,Saline E12.5,4,2,27,2.86,2,4
347,21,Saline E12.5,4,3,100.2,10.126,10,16
348,21,Saline E12.5,4,4,120,9.563,6,19
349,22,Saline E12.5,4,1,8.5,0.739,0,1
350,22,Saline E12.5,4,2,27.2,2.457,0,5
351,22,Saline E12.5,4,3,46.3,5.647,8,6
352,22,Saline E12.5,4,4,120,11.769,19,11
353,1,SEA E12.5,5,1,4.5,0.42,0,1
354,1,SEA E12.5,5,2,10.2,1.282,2,1
355,1,SEA E12.5,5,3,18.1,2.451,2,5
356,1,SEA E12.5,5,4,120,16.819,15,26
357,2,SEA E12.5,5,1,5.3,0.489,0,1
358,2,SEA E12.5,5,2,25.7,3.11,0,8
359,2,SEA E12.5,5,3,4.4,0.12,0,0
